De 1 a 2 Salário Mínimo (R$ 1.519 a R$ 3.036),Sim,Responsável familiar,Masculino,Sim,Não,Sim,Ensino superior incompleto,Pela educação regular,Não,Já fiz,Sim,Aulas gravadas e ao vivo,"Sim, com frequência","Matemática, Física, Química, Língua Estrangeira (Inglês ou Espanhol)","Sim, todos os dias",Não,40 a 59 anos,São Luís - MA,Poucas escolas para a comunidade
Até 1 Salário Mínimo (até R$ 1.518),Sim,Outro,Feminino,Sim,Não,Sim,Ensino fundamental completo,Pela educação regular,Sim,Já fiz,Sim,Aulas gravadas e ao vivo,"Sim, com frequência","Português e Redação, Física, Química, Língua Estrangeira (Inglês ou Espanhol), Interpretação de texto","Sim, todos os dias",Sim,18 a 24 anos,São Luís - MA,
Até 1 Salário Mínimo (até R$ 1.518),Sim,Estudante,Feminino,Não,Sim,Sim,Ensino fundamental completo,Não concluí o ensino médio,Sim,Tenho interesse em fazer futuramente,Sim,"Aulas gravadas e ao vivo, Conteúdo regionalizado (cultura, geografia, história), Trilhas de aprendizagem por idade e interesse",Às vezes,"Matemática, Física, Química","Sim, todos os dias",Sim,12 a 17 anos,São Luís - MA,
De 1 a 2 Salário Mínimo (R$ 1.519 a R$ 3.036),Sim,Estudante,Masculino,Sim,Não,Sim,Ensino superior completo,Pela educação regular,Não,Já fiz,Sim,"Conteúdo regionalizado (cultura, geografia, história), Trilhas de aprendizagem por idade e interesse, Painéis de progresso e engajamento","Sim, com frequência",Nenhuma,"Sim, todos os dias",Já atuo como voluntário(a) na área de educação,25 a 39 anos,Paço do Lumiar - MA,
Até 1 Salário Mínimo (até R$ 1.518),Sim,Outro,Feminino,Sim,Não,Sim,Ensino fundamental completo,Pela educação regular,Não,Já fiz,Sim,Aulas gravadas e ao vivo,Às vezes,"Português e Redação, Física, Química, Língua Estrangeira (Inglês ou Espanhol), Interpretação de texto","Sim, todos os dias",Sim,18 a 24 anos,São Luís - MA,
De 3 a 5 Salário Mínimo (R$ 4.555 a R$ 7.590),Sim,Educador(a),Feminino,Sim,Sim,Sim,Ensino superior completo,Pela educação regular,Sim,Já fiz,Sim,"Aulas gravadas e ao vivo, Tutoria voluntária, Conteúdo regionalizado (cultura, geografia, história), Trilhas de aprendizagem por idade e interesse, Painéis de progresso e engajamento","Sim, com frequência","Matemática, Língua Estrangeira (Inglês ou Espanhol)","Sim, todos os dias",Sim,18 a 24 anos,,
Até 1 Salário Mínimo (até R$ 1.518),Sim,Responsável familiar,Feminino,Não,Sim,Sim,Ensino superior completo,Pela educação regular,Não,Já fiz,Sim,Trilhas de aprendizagem por idade e interesse,Às vezes,"Matemática, Física, Química","Sim, todos os dias",Não,25 a 39 anos,São Luís - MA,"Falta de acesso, educação dinâmica e qualificada"
Até 1 Salário Mínimo (até R$ 1.518),Sim,Estudante,Feminino,Não,Não,Sim,Ensino médio completo,Pela educação regular,Sim,Já fiz,Sim,Trilhas de aprendizagem por idade e interesse,"Sim, com frequência",Física,"Sim, todos os dias",Sim,18 a 24 anos,São Luís - MA,Nenhum
Até 1 Salário Mínimo (até R$ 1.518),Sim,Estudante,Feminino,Sim,Sim,Sim,Ensino médio completo,Pela educação regular,Não,Já fiz,Sim,"Aulas gravadas e ao vivo, Conteúdo regionalizado (cultura, geografia, história), Painéis de progresso e engajamento",Às vezes,"Matemática, Física, Língua Estrangeira (Inglês ou Espanhol)","Sim, todos os dias",Não,18 a 24 anos,São Luís - MA,
Até 1 Salário Mínimo (até R$ 1.518),Sim,Estudante,Feminino,Não,Não,Sim,Ensino médio incompleto,Não concluí o ensino médio,Sim,Vou fazer este ano,Sim,"Conteúdo regionalizado (cultura, geografia, história), Trilhas de aprendizagem por idade e interesse, Painéis de progresso e engajamento","Sim, com frequência","Matemática, Física","Sim, todos os dias",Sim,12 a 17 anos,São Luís - MA,Qualidade de ensino
De 3 a 5 Salário Mínimo (R$ 4.555 a R$ 7.590),Sim,Estudante,Feminino,Não,Não,Sim,Ensino médio incompleto,Não concluí o ensino médio,Sim,Já fiz,Sim,"Conteúdo regionalizado (cultura, geografia, história), Trilhas de aprendizagem por idade e interesse, Painéis de progresso e engajamento","Sim, com frequência","Biologia, Geografia, Filosofia / Sociologia","Sim, todos os dias",Sim,12 a 17 anos,São Luís - MA,Qualidade de ensino
Até 1 Salário Mínimo (até R$ 1.518),Sim,Outro,Feminino,Não,Sim,Sim,Ensino médio completo,Pela educação regular,Não,Vou fazer este ano,Sim,"Aulas gravadas e ao vivo, Tutoria voluntária, Trilhas de aprendizagem por idade e interesse",Às vezes,"Português e Redação, Língua Estrangeira (Inglês ou Espanhol)","Sim, todos os dias",Não,18 a 24 anos,São Luís - MA,Ter acesso gratuito e de qualidade
Até 1 Salário Mínimo (até R$ 1.518),Sim,Estudante,Feminino,Sim,Sim,Sim,Ensino médio completo,Pela educação regular,Sim,Já fiz,Sim,"Aulas gravadas e ao vivo, Tutoria voluntária, Conteúdo regionalizado (cultura, geografia, história)","Sim, com frequência",Física,"Sim, todos os dias",Sim,18 a 24 anos,São Luís - MA,As escolas do bairro são bem precárias em ralação ao ensino
Até 1 Salário Mínimo (até R$ 1.518),Sim,Estudante,Feminino,Não,Sim,Sim,Ensino fundamental incompleto,Não concluí o ensino médio,Não,Tenho interesse em fazer futuramente,Sim,"Aulas gravadas e ao vivo, Tutoria voluntária, Conteúdo regionalizado (cultura, geografia, história), Trilhas de aprendizagem por idade e interesse","Sim, com frequência","Geografia, Filosofia / Sociologia","Sim, todos os dias",Sim,12 a 17 anos,São Luís - MA,"Eu vim do interior mas moro aqui agora, lá tem um grande problema de educação falta de professores entre outros"
Até 1 Salário Mínimo (até R$ 1.518),Sim,Educador(a),Feminino,Sim,Sim,Sim,Ensino superior completo,Pela educação regular,Não,Já fiz,Sim,"Aulas gravadas e ao vivo, Conteúdo regionalizado (cultura, geografia, história)","Sim, com frequência","Matemática, Física, Química","Sim, todos os dias",Não,25 a 39 anos,,
Até 1 Salário Mínimo (até R$ 1.518),Sim,Responsável familiar,Feminino,Sim,Sim,Sim,Ensino superior completo,Pela educação regular,Não,Já fiz,Sim,"Aulas gravadas e ao vivo, Conteúdo regionalizado (cultura, geografia, história), Trilhas de aprendizagem por idade e interesse",Às vezes,"Matemática, Física, Química, Língua Estrangeira (Inglês ou Espanhol)","Sim, todos os dias",Sim,25 a 39 anos,São José de Ribamar - MA,Escolas distantes Falta de faculdade
De 1 a 2 Salário Mínimo (R$ 1.519 a R$ 3.036),Sim,Estudante,Feminino,Não,Sim,Sim,Ensino médio completo,Pela educação regular,Sim,Já fiz,Sim,"Aulas gravadas e ao vivo, Tutoria voluntária, Trilhas de aprendizagem por idade e interesse","Sim, com frequência","Matemática, Física, Química","Sim, todos os dias",Sim,12 a 17 anos,São Luís - MA,Acesso a ensino de qualidade A maior dificuldade por aqui são as escolas públicas sem o menor nível de preparação quando á professor para dar aula
De 2 a 3 Salário Mínimo (R$ 3.037 a R$ 4.554),Sim,Estudante,Feminino,Não,Não,Sim,Ensino médio completo,Não concluí o ensino médio,Sim,Já fiz,Sim,"Aulas gravadas e ao vivo, Tutoria voluntária, Conteúdo regionalizado (cultura, geografia, história)","Sim, com frequência","Matemática, Português e Redação, Física, Filosofia / Sociologia, Língua Estrangeira (Inglês ou Espanhol), Interpretação de texto","Sim, todos os dias",Não,12 a 17 anos,São Luís - MA,A falta de acesso a Internet para estudantes de baixa renda
De 1 a 2 Salário Mínimo (R$ 1.519 a R$ 3.036),Sim,Responsável familiar,Feminino,Sim,Sim,Sim,Ensino superior incompleto,Pela educação regular,Sim,Já fiz,Sim,"Aulas gravadas e ao vivo, Tutoria voluntária, Conteúdo regionalizado (cultura, geografia, história), Trilhas de aprendizagem por idade e interesse, Painéis de progresso e engajamento","Sim, com frequência","Matemática, Português e Redação, Física, Química, Língua Estrangeira (Inglês ou Espanhol)","Sim, todos os dias",Sim,40 a 59 anos,Comunidade de Igaraú - MA,A distância
De 1 a 2 Salário Mínimo (R$ 1.519 a R$ 3.036),Sim,Responsável familiar,Masculino,Sim,Sim,Sim,Ensino médio completo,Pelo EJA,Não,Tenho interesse em fazer futuramente,Sim,Aulas gravadas e ao vivo,Às vezes,Língua Estrangeira (Inglês ou Espanhol),"Sim, todos os dias",Sim,25 a 39 anos,Comunidade de Igaraú - MA,Ensino a distância
Até 1 Salário Mínimo (até R$ 1.518),Sim,Estudante,Feminino,Não,Sim,Sim,Ensino superior incompleto,Pela educação regular,Sim,Já fiz,Sim,"Aulas gravadas e ao vivo, Tutoria voluntária, Trilhas de aprendizagem por idade e interesse","Sim, com frequência","Física, Química, Biologia","Sim, todos os dias",Sim,18 a 24 anos,São Luís - MA,
Até 1 Salário Mínimo (até R$ 1.518),Sim,Estudante,Feminino,Não,Sim,Sim,Ensino médio completo,Pela educação regular,Não,Já fiz,Sim,"Aulas gravadas e ao vivo, Tutoria voluntária, Painéis de progresso e engajamento",Raramente,"Matemática, Português e Redação, Física, Química, Língua Estrangeira (Inglês ou Espanhol)","Sim, todos os dias",Não,25 a 39 anos,São Luís - MA,Interesse
De 1 a 2 Salário Mínimo (R$ 1.519 a R$ 3.036),Sim,Estudante,Feminino,Não,Sim,Sim,Ensino fundamental completo,Estou me preparando para fazer,Sim,Já fiz,Sim,"Aulas gravadas e ao vivo, Tutoria voluntária, Trilhas de aprendizagem por idade e interesse",Às vezes,"Matemática, Física, Química, Língua Estrangeira (Inglês ou Espanhol)","Sim, todos os dias",Não,12 a 17 anos,São José de Ribamar - MA,"Boas escolas municipais, com infraestrutura adequada"
Até 1 Salário Mínimo (até R$ 1.518),Sim,Estudante,Feminino,Sim,Sim,Sim,Ensino superior incompleto,Pela educação regular,Sim,Já fiz,Sim,"Aulas gravadas e ao vivo, Tutoria voluntária, Conteúdo regionalizado (cultura, geografia, história), Painéis de progresso e engajamento","Sim, com frequência","Matemática, Física, Química, Biologia","Sim, todos os dias",Não,25 a 39 anos,São Luís - MA,Educação de qualidade Alunos saem do ensino médio sem saber o básico de matemática e português
De 1 a 2 Salário Mínimo (R$ 1.519 a R$ 3.036),Sim,Estudante,Feminino,Não,Não,Sim,Ensino médio incompleto,Não concluí o ensino médio,Não,Já fiz,Sim,"Aulas gravadas e ao vivo, Conteúdo regionalizado (cultura, geografia, história), Painéis de progresso e engajamento","Sim, com frequência","Biologia, Língua Estrangeira (Inglês ou Espanhol), Interpretação de texto","Sim, todos os dias",Não,12 a 17 anos,,
De 1 a 2 Salário Mínimo (R$ 1.519 a R$ 3.036),Sim,Outro,Feminino,Sim,Não,Sim,Ensino médio completo,Pela educação regular,Não,Tenho interesse em fazer futuramente,Sim,"Aulas gravadas e ao vivo, Tutoria voluntária, Painéis de progresso e engajamento",Raramente,"Física, Química","Sim, todos os dias",Não,18 a 24 anos,Dom Pedro - MA,Profissionais qualificados para a matéria em que atuam
Até 1 Salário Mínimo (até R$ 1.518),Sim,Estudante,Masculino,Não,Não,Sim,Ensino superior completo,Pela educação regular,Sim,Já fiz,Talvez,"Aulas gravadas e ao vivo, Tutoria voluntária, Painéis de progresso e engajamento","Sim, com frequência","Português e Redação, Filosofia / Sociologia","Sim, todos os dias",Não,18 a 24 anos,São Luís - MA,Falta de estrutura nas escolas
De 1 a 2 Salário Mínimo (R$ 1.519 a R$ 3.036),Sim,Estudante,Feminino,Não,Não,Sim,Ensino fundamental completo,Não concluí o ensino médio,Sim,Já fiz,Sim,"Aulas gravadas e ao vivo, Conteúdo regionalizado (cultura, geografia, história), Painéis de progresso e engajamento","Sim, com frequência","Matemática, Física, Química, Biologia","Sim, todos os dias",Não,12 a 17 anos,São Luís - MA,"Ter acesso a uma plataforma e gratuita com todos os conteúdos do enem, que tenha questões, redações e simulados"
De 1 a 2 Salário Mínimo (R$ 1.519 a R$ 3.036),Sim,Educador(a),Masculino,Sim,Sim,Sim,Ensino superior completo,Pela educação regular,Não,Já fiz,Talvez,"Conteúdo regionalizado (cultura, geografia, história), Trilhas de aprendizagem por idade e interesse, Painéis de progresso e engajamento","Sim, com frequência","Matemática, Português e Redação, Física, Química","Sim, todos os dias",Sim,18 a 24 anos,Coelho Neto - MA,
Até 1 Salário Mínimo (até R$ 1.518),Sim,Estudante,Feminino,Não,Sim,Sim,Ensino superior incompleto,Pela educação regular,Não,Já fiz,Sim,Aulas gravadas e ao vivo,"Sim, com frequência",Matemática,"Sim, todos os dias",Sim,25 a 39 anos,Estreito - MA,
De 1 a 2 Salário Mínimo (R$ 1.519 a R$ 3.036),Sim,Estudante,Masculino,Não,Não,Sim,Ensino superior completo,Pela educação regular,Sim,Já fiz,Talvez,"Aulas gravadas e ao vivo, Tutoria voluntária, Conteúdo regionalizado (cultura, geografia, história), Trilhas de aprendizagem por idade e interesse, Painéis de progresso e engajamento","Sim, com frequência","Matemática, Português e Redação, Física, Química, Biologia, Geografia, História, Língua Estrangeira (Inglês ou Espanhol)","Sim, todos os dias",Não,12 a 17 anos,São Luís - MA,nenhuma
De 3 a 5 Salário Mínimo (R$ 4.555 a R$ 7.590),Sim,Estudante,Masculino,Não,Sim,Sim,Ensino médio incompleto,Não concluí o ensino médio,Sim,Vou fazer este ano,Sim,"Tutoria voluntária, Conteúdo regionalizado (cultura, geografia, história), Painéis de progresso e engajamento","Sim, com frequência","Português e Redação, Língua Estrangeira (Inglês ou Espanhol)","Sim, todos os dias",Não,18 a 24 anos,Paço do Lumiar - MA,falta de recursos
